"Time","memory_usage"
2023-06-12 12:24:55,38.3%
2023-06-12 12:25:00,39.5%
2023-06-12 12:25:05,39.5%
2023-06-12 12:25:10,37.9%
2023-06-12 12:25:15,37.9%
2023-06-12 12:25:20,37.7%
2023-06-12 12:25:25,37.7%
2023-06-12 12:25:30,37.2%
2023-06-12 12:25:35,36.7%
2023-06-12 12:25:40,37.4%
2023-06-12 12:25:45,36.7%
2023-06-12 12:25:50,36.7%
2023-06-12 12:25:55,37.8%
2023-06-12 12:26:00,37.8%
2023-06-12 12:26:05,39.9%
2023-06-12 12:26:10,38.3%
2023-06-12 12:26:15,38.1%
2023-06-12 12:26:20,37.8%
2023-06-12 12:26:25,37.8%
2023-06-12 12:26:30,39.6%
2023-06-12 12:26:35,39.6%
2023-06-12 12:26:40,39.5%
2023-06-12 12:26:45,39.5%
2023-06-12 12:26:50,39.0%
2023-06-12 12:26:55,38.6%
2023-06-12 12:27:00,38.6%
2023-06-12 12:27:05,37.9%
2023-06-12 12:27:10,37.4%
2023-06-12 12:27:15,37.4%
2023-06-12 12:27:20,37.8%
2023-06-12 12:27:25,37.6%
2023-06-12 12:27:30,37.6%
2023-06-12 12:27:35,37.6%
2023-06-12 12:27:40,37.6%
2023-06-12 12:27:45,37.6%
2023-06-12 12:27:50,37.6%
2023-06-12 12:27:55,37.7%
2023-06-12 12:28:00,37.5%
2023-06-12 12:28:05,37.5%
2023-06-12 12:28:10,37.5%
2023-06-12 12:28:15,37.8%
2023-06-12 12:28:20,37.5%
2023-06-12 12:28:25,37.7%
2023-06-12 12:28:30,37.7%
2023-06-12 12:28:35,37.5%
2023-06-12 12:28:40,37.5%
2023-06-12 12:28:45,37.5%
2023-06-12 12:28:50,37.5%
2023-06-12 12:28:55,37.5%
2023-06-12 12:29:00,38.0%
2023-06-12 12:29:05,38.0%
2023-06-12 12:29:10,37.5%
2023-06-12 12:29:15,37.5%
2023-06-12 12:29:20,37.7%
2023-06-12 12:29:25,37.7%
2023-06-12 12:29:30,37.5%
2023-06-12 12:29:35,37.5%
2023-06-12 12:29:40,37.5%
2023-06-12 12:29:45,37.5%
2023-06-12 12:29:50,37.5%
2023-06-12 12:29:55,37.7%
2023-06-12 12:30:00,37.7%
2023-06-12 12:30:05,37.5%
2023-06-12 12:30:10,37.5%
2023-06-12 12:30:15,37.5%
2023-06-12 12:30:20,39.4%
2023-06-12 12:30:25,39.0%
2023-06-12 12:30:30,37.6%
2023-06-12 12:30:35,37.8%
2023-06-12 12:30:40,37.8%
2023-06-12 12:30:45,37.8%
2023-06-12 12:30:50,37.8%
2023-06-12 12:30:55,37.6%
2023-06-12 12:31:00,37.6%
2023-06-12 12:31:05,38.3%
2023-06-12 12:31:10,37.9%
2023-06-12 12:31:15,39.0%
2023-06-12 12:31:20,37.7%
2023-06-12 12:31:25,38.1%
2023-06-12 12:31:30,37.9%
2023-06-12 12:31:35,38.3%
2023-06-12 12:31:40,39.1%
2023-06-12 12:31:45,38.1%
2023-06-12 12:31:50,38.1%
2023-06-12 12:31:55,37.6%
2023-06-12 12:32:00,37.0%
2023-06-12 12:32:05,37.7%
2023-06-12 12:32:10,38.5%
2023-06-12 12:32:15,37.8%
2023-06-12 12:32:20,37.8%
2023-06-12 12:32:25,37.5%
2023-06-12 12:32:30,37.5%
2023-06-12 12:32:35,37.5%
2023-06-12 12:32:40,37.5%
2023-06-12 12:32:45,37.6%
2023-06-12 12:32:50,37.7%
2023-06-12 12:32:55,38.2%
2023-06-12 12:33:00,37.7%
2023-06-12 12:33:05,38.1%
2023-06-12 12:33:10,37.9%
2023-06-12 12:33:15,37.7%
2023-06-12 12:33:20,37.7%
2023-06-12 12:33:25,37.5%
2023-06-12 12:33:30,37.4%
2023-06-12 12:33:35,37.5%
2023-06-12 12:33:40,37.7%
2023-06-12 12:33:45,37.6%
2023-06-12 12:33:50,37.2%
2023-06-12 12:33:55,37.7%
2023-06-12 12:34:00,37.7%
2023-06-12 12:34:05,37.9%
2023-06-12 12:34:10,37.9%
2023-06-12 12:34:15,38.4%
2023-06-12 12:34:20,38.4%
2023-06-12 12:34:25,37.9%
2023-06-12 12:34:30,37.9%
2023-06-12 12:34:35,37.6%
2023-06-12 12:34:40,37.5%
2023-06-12 12:34:45,37.5%
2023-06-12 12:34:50,37.5%
2023-06-12 12:34:55,37.5%
2023-06-12 12:35:00,37.6%
2023-06-12 12:35:05,37.6%
2023-06-12 12:35:10,37.6%
2023-06-12 12:35:15,37.6%
2023-06-12 12:35:20,37.6%
2023-06-12 12:35:25,37.6%
2023-06-12 12:35:30,37.6%
2023-06-12 12:35:35,37.6%
2023-06-12 12:35:40,37.6%
2023-06-12 12:35:45,37.6%
2023-06-12 12:35:50,37.6%
2023-06-12 12:35:55,37.6%
2023-06-12 12:36:00,37.6%
2023-06-12 12:36:05,37.6%
2023-06-12 12:36:10,37.6%
2023-06-12 12:36:15,37.6%
2023-06-12 12:36:20,38.0%
2023-06-12 12:36:25,37.6%
2023-06-12 12:36:30,37.6%
2023-06-12 12:36:35,37.6%
2023-06-12 12:36:40,37.6%
2023-06-12 12:36:45,37.6%
2023-06-12 12:36:50,37.6%
2023-06-12 12:36:55,37.6%
2023-06-12 12:37:00,37.6%
2023-06-12 12:37:05,37.6%
2023-06-12 12:37:10,37.6%
2023-06-12 12:37:15,37.6%
2023-06-12 12:37:20,37.6%
2023-06-12 12:37:25,37.6%
2023-06-12 12:37:30,37.6%
2023-06-12 12:37:35,37.6%
