"Time","tps","tps_error"
2023-06-12 12:11:40,0.600 req/s,0 req/s
2023-06-12 12:11:45,0.400 req/s,0 req/s
2023-06-12 12:11:50,0.400 req/s,0 req/s
2023-06-12 12:11:55,0.400 req/s,0 req/s
2023-06-12 12:12:00,0.200 req/s,0 req/s
2023-06-12 12:12:05,0.600 req/s,0 req/s
2023-06-12 12:12:10,0.400 req/s,0 req/s
2023-06-12 12:12:15,0.400 req/s,0 req/s
2023-06-12 12:12:20,0.400 req/s,0 req/s
2023-06-12 12:12:25,0.400 req/s,0 req/s
2023-06-12 12:12:30,0.400 req/s,0 req/s
2023-06-12 12:12:35,0.400 req/s,0 req/s
2023-06-12 12:12:40,0.200 req/s,0 req/s
2023-06-12 12:12:45,0.600 req/s,0 req/s
2023-06-12 12:12:50,0.200 req/s,0 req/s
2023-06-12 12:12:55,0.400 req/s,0 req/s
2023-06-12 12:13:00,0.400 req/s,0 req/s
2023-06-12 12:13:05,0.400 req/s,0 req/s
2023-06-12 12:13:10,0.400 req/s,0 req/s
2023-06-12 12:13:15,0.400 req/s,0 req/s
2023-06-12 12:13:20,0.400 req/s,0 req/s
2023-06-12 12:13:25,0.400 req/s,0 req/s
2023-06-12 12:13:30,0.400 req/s,0 req/s
2023-06-12 12:13:35,0.400 req/s,0 req/s
2023-06-12 12:13:40,0.400 req/s,0 req/s
2023-06-12 12:13:45,0.400 req/s,0 req/s
2023-06-12 12:13:50,0.400 req/s,0 req/s
2023-06-12 12:13:55,0.400 req/s,0 req/s
2023-06-12 12:14:00,0.400 req/s,0 req/s
2023-06-12 12:14:05,0.400 req/s,0 req/s
2023-06-12 12:14:10,0.400 req/s,0 req/s
2023-06-12 12:14:15,0.200 req/s,0 req/s
2023-06-12 12:14:20,0.800 req/s,0 req/s
2023-06-12 12:14:25,0.600 req/s,0 req/s
2023-06-12 12:14:30,0.400 req/s,0 req/s
2023-06-12 12:14:35,1 req/s,0 req/s
2023-06-12 12:14:40,0.600 req/s,0 req/s
2023-06-12 12:14:45,0.600 req/s,0 req/s
2023-06-12 12:14:50,0.600 req/s,0 req/s
2023-06-12 12:14:55,0.800 req/s,0 req/s
2023-06-12 12:15:00,0.400 req/s,0 req/s
2023-06-12 12:15:05,0.800 req/s,0 req/s
2023-06-12 12:15:10,0.800 req/s,0 req/s
2023-06-12 12:15:15,0.600 req/s,0 req/s
2023-06-12 12:15:20,0.800 req/s,0 req/s
2023-06-12 12:15:25,0.600 req/s,0 req/s
2023-06-12 12:15:30,0.600 req/s,0 req/s
2023-06-12 12:15:35,0.600 req/s,0 req/s
2023-06-12 12:15:40,0.800 req/s,0 req/s
2023-06-12 12:15:45,0.400 req/s,0 req/s
2023-06-12 12:15:50,0.800 req/s,0 req/s
2023-06-12 12:15:55,0.800 req/s,0 req/s
2023-06-12 12:16:00,0.600 req/s,0 req/s
2023-06-12 12:16:05,0.600 req/s,0 req/s
