"Time","Used","Buffer","Cached","Free"
2023-04-18 15:36:20,338 MiB,27.8 MiB,511 MiB,92.8 MiB
2023-04-18 15:36:25,338 MiB,27.8 MiB,511 MiB,92.8 MiB
2023-04-18 15:36:30,338 MiB,27.8 MiB,511 MiB,92.8 MiB
2023-04-18 15:36:35,338 MiB,27.8 MiB,511 MiB,92.8 MiB
2023-04-18 15:36:40,338 MiB,27.8 MiB,511 MiB,92.8 MiB
2023-04-18 15:36:45,338 MiB,27.8 MiB,511 MiB,92.8 MiB
2023-04-18 15:36:50,336 MiB,27.8 MiB,511 MiB,95.0 MiB
2023-04-18 15:36:55,336 MiB,27.8 MiB,511 MiB,95.0 MiB
2023-04-18 15:37:00,336 MiB,27.8 MiB,511 MiB,95.0 MiB
2023-04-18 15:37:05,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:37:10,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:37:15,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:37:20,338 MiB,27.8 MiB,511 MiB,93.4 MiB
2023-04-18 15:37:25,338 MiB,27.8 MiB,511 MiB,93.4 MiB
2023-04-18 15:37:30,333 MiB,27.8 MiB,511 MiB,97.8 MiB
2023-04-18 15:37:35,338 MiB,27.8 MiB,511 MiB,93.0 MiB
2023-04-18 15:37:40,338 MiB,27.8 MiB,511 MiB,93.0 MiB
2023-04-18 15:37:45,338 MiB,27.8 MiB,511 MiB,93.0 MiB
2023-04-18 15:37:50,338 MiB,27.8 MiB,511 MiB,93.0 MiB
2023-04-18 15:37:55,338 MiB,27.8 MiB,511 MiB,93.0 MiB
2023-04-18 15:38:00,324 MiB,27.8 MiB,511 MiB,108 MiB
2023-04-18 15:38:05,324 MiB,27.8 MiB,511 MiB,108 MiB
2023-04-18 15:38:10,330 MiB,27.8 MiB,511 MiB,102 MiB
2023-04-18 15:38:15,330 MiB,27.8 MiB,511 MiB,102 MiB
2023-04-18 15:38:20,338 MiB,27.8 MiB,511 MiB,93.1 MiB
2023-04-18 15:38:25,338 MiB,27.8 MiB,511 MiB,93.1 MiB
2023-04-18 15:38:30,328 MiB,27.8 MiB,511 MiB,103 MiB
2023-04-18 15:38:35,326 MiB,27.8 MiB,511 MiB,105 MiB
2023-04-18 15:38:40,324 MiB,27.8 MiB,511 MiB,107 MiB
2023-04-18 15:38:45,334 MiB,27.8 MiB,511 MiB,97.4 MiB
2023-04-18 15:38:50,334 MiB,27.8 MiB,511 MiB,97.4 MiB
2023-04-18 15:38:55,334 MiB,27.8 MiB,511 MiB,97.4 MiB
2023-04-18 15:39:00,342 MiB,27.8 MiB,511 MiB,89.1 MiB
2023-04-18 15:39:05,341 MiB,27.8 MiB,511 MiB,90.3 MiB
2023-04-18 15:39:10,338 MiB,27.8 MiB,511 MiB,92.8 MiB
2023-04-18 15:39:15,332 MiB,27.8 MiB,511 MiB,99.4 MiB
2023-04-18 15:39:20,332 MiB,27.8 MiB,511 MiB,99.4 MiB
2023-04-18 15:39:25,332 MiB,27.8 MiB,511 MiB,99.4 MiB
